Id	Part2b	Part2t	Part1	Scope	Language_Type	Ref_Name	Comment
gnc				I	E	Guanche	
jiq				I	L	Guanyinqiao	
grn	grn	grn	gn	M	L	Guarani	
gyr				I	L	Guarayu	
gae				I	L	Guarequena	
gta				I	L	Guató	
gsm				I	L	Guatemalan Sign Language	
guo				I	L	Guayabero	
xgd				I	E	Gudang	
nji				I	L	Gudanji	
gde				I	L	Gude	
gdu				I	L	Gudu	
gdf				I	L	Guduf-Gava	
amu				I	L	Guerrero Amuzgo	
ngu				I	L	Guerrero Nahuatl	
zpg				I	L	Guevea De Humboldt Zapotec	
ggd				I	E	Gugadj	
gdc				I	E	Gugu Badhun	
wrw				I	E	Gugu Warra	
kkp				I	L	Gugubera	
ghs				I	L	Guhu-Samane	
gcr				I	L	Guianese Creole French	
zgb				I	L	Guibei Zhuang	
bet				I	L	Guiberoua Béte	
zgn				I	L	Guibian Zhuang	
gkp				I	L	Guinea Kpelle	
lgs				I	L	Guinea-Bissau Sign Language	
gus				I	L	Guinean Sign Language	
gqi				I	L	Guiqiong	
guj	guj	guj	gu	I	L	Gujarati	
gju				I	L	Gujari	
kcm				I	L	Gula (Central African Republic)	
glu				I	L	Gula (Chad)	
glj				I	L	Gula Iro	
gmb				I	L	Gula'alaa	
gvl				I	L	Gulay	
gly				I	E	Gule	
afb				I	L	Gulf Arabic	
gmu				I	L	Gumalu	
gnn				I	L	Gumatj	
gvs				I	L	Gumawana	
guk				I	L	Gumuz	
guw				I	L	Gun	
gdi				I	L	Gundi	
gjm				I	E	Gunditjmara	
xrd				I	E	Gundungurra	
gyf				I	E	Gungabula	
rub				I	L	Gungu	
gnt				I	L	Guntai	
gup				I	L	Gunwinggu	
gyy				I	E	Gunya	
gpa				I	L	Gupa-Abawa	
guf				I	L	Gupapuyngu	
grz				I	L	Guramalum	
hac				I	L	Gurani	
gdj				I	L	Gurdjar	
gnr				I	E	Gureng Gureng	
ggg				I	L	Gurgula	
grx				I	L	Guriaso	
gue				I	L	Gurindji	
gjr				I	L	Gurindji Kriol	
gvm				I	L	Gurmana	
goa				I	L	Guro	
gge				I	L	Gurr-goni	
gvr				I	L	Gurung	
grd				I	L	Guruntum-Mbaaru	
guz				I	L	Gusii	
gsl				I	L	Gusilay	
kky				I	L	Guugu Yimidhirr	
xgw				I	E	Guwa	
gwu				I	E	Guwamu	
gka				I	L	Guya	
gyn				I	L	Guyanese Creole English	
gvy				I	E	Guyani	
ngs				I	L	Gvoko	
gwb				I	L	Gwa	
dah				I	L	Gwahatike	
jgk				I	L	Gwak	
bga				I	L	Gwamhi-Wuri	
gwn				I	L	Gwandara	
grw				I	L	Gweda	
gwe				I	L	Gweno	
gwr				I	L	Gwere	
gwi	gwi	gwi		I	L	Gwichʼin	
gyo				I	L	Gyalsumdo	
gyi				I	L	Gyele	
gye				I	L	Gyem	
hrt				I	L	Hértevin	
juh				I	L	Hõne	
haq				I	L	Ha	
hbu				I	L	Habu	
hdy				I	L	Hadiyya	
hoj				I	L	Hadothi	
xhd				I	H	Hadrami	
ayh				I	L	Hadrami Arabic	
hts				I	L	Hadza	
aek				I	L	Haeke	
hah				I	L	Hahon	
hgm				I	L	Haiǁom	
hai	hai	hai		M	L	Haida	
hgw				I	L	Haigwai	
haf				I	L	Haiphong Sign Language	
has				I	L	Haisla	
hat	hat	hat	ht	I	L	Haitian	
hvc				I	L	Haitian Vodoun Culture Language	
hji				I	L	Haji	
haj				I	L	Hajong	
hao				I	L	Hakö	
cnh				I	L	Hakha Chin	
hak				I	L	Hakka Chinese	
hal				I	L	Halang	
hld				I	L	Halang Doan	
hlb				I	L	Halbi	
khk				I	L	Halh Mongolian	
hla				I	L	Halia	
hur				I	L	Halkomelem	
hmu				I	L	Hamap	
hba				I	L	Hamba	
amf				I	L	Hamer-Banna	
hmt				I	L	Hamtai	
haa				I	L	Han	
hag				I	L	Hanga	
wos				I	L	Hanga Hundi	
han				I	L	Hangaza	
hni				I	L	Hani	
lml				I	L	Hano	
hab				I	L	Hanoi Sign Language	
hnn				I	L	Hanunoo	
xha				I	H	Harami	
har				I	L	Harari	
kjo				I	L	Harijan Kinnauri	
hro				I	L	Haroi	
hss				I	L	Harsusi	
tmd				I	L	Haruai	
hrk				I	L	Haruku	
bgc				I	L	Haryanvi	
hrz				I	L	Harzani	
ybj				I	L	Hasha	
mey				I	L	Hassaniyya	
had				I	L	Hatam	
xht				I	H	Hattic	
hau	hau	hau	ha	I	L	Hausa	
hsl				I	L	Hausa Sign Language	
yuf				I	L	Havasupai-Walapai-Yavapai	
hvk				I	L	Haveke	
hav				I	L	Havu	
hwc				I	L	Hawai'i Creole English	
hps				I	L	Hawai'i Sign Language (HSL)	
haw	haw	haw		I	L	Hawaiian	
hay				I	L	Haya	
haz				I	L	Hazaragi	
xed				I	L	Hdi	
heb	heb	heb	he	I	L	Hebrew	
heh				I	L	Hehe	
hbn				I	L	Heiban	
hei				I	L	Heiltsuk	
heg				I	L	Helong	
nix				I	L	Hema	
hem				I	L	Hemba	
hed				I	L	Herdé	
her	her	her	hz	I	L	Herero	
llf				I	E	Hermit	
xhr				I	H	Hernican	
ham				I	L	Hewa	
auk				I	L	Heyo	
ghc				I	H	Hiberno-Scottish Gaelic	
hib				I	E	Hibito	
hid				I	L	Hidatsa	
hlu				I	H	Hieroglyphic Luwian	
mba				I	L	Higaonon	
kjk				I	L	Highland Konjo	
chd				I	L	Highland Oaxaca Chontal	
poi				I	L	Highland Popoluca	
azz				I	L	Highland Puebla Nahuatl	
tos				I	L	Highland Totonac	
acw				I	L	Hijazi Arabic	
hij				I	L	Hijuk	
hil	hil	hil		I	L	Hiligaynon	
hir				I	L	Himarimã	
hin	hin	hin	hi	I	L	Hindi	
hii				I	L	Hinduri	
gin				I	L	Hinukh	
hmo	hmo	hmo	ho	I	L	Hiri Motu	
hit	hit	hit		I	H	Hittite	
htu				I	L	Hitu	
hiw				I	L	Hiw	
hix				I	L	Hixkaryána	
lic				I	L	Hlai	
yhl				I	L	Hlepho Phowa	
hle				I	L	Hlersu	
hmr				I	L	Hmar	
hmn	hmn	hmn		M	L	Hmong	
hmv				I	L	Hmong Dô	
mww				I	L	Hmong Daw	
hmf				I	L	Hmong Don	
hnj				I	L	Hmong Njua	
hmz				I	L	Hmong Shua	
mrk				I	L	Hmwaveke	
hoc				I	L	Ho	
hos				I	L	Ho Chi Minh City Sign Language	
win				I	L	Ho-Chunk	
hoa				I	L	Hoava	
hoh				I	L	Hobyót	
hhi				I	L	Hoia Hoia	
hoi				I	L	Holikachuk	
hoy				I	L	Holiya	
hod				I	E	Holma	
hoo				I	L	Holoholo	
hol				I	L	Holu	
hom				I	E	Homa	
hds				I	L	Honduras Sign Language	
hks				I	L	Hong Kong Sign Language	
how				I	L	Honi	
hop				I	L	Hopi	
hrm				I	L	Horned Miao	
hor				I	E	Horo	
hoe				I	L	Horom	
ero				I	L	Horpa	
hot				I	L	Hote	
hti				I	E	Hoti	
hov				I	L	Hovongan	
hhy				I	L	Hoyahoya	
hoz				I	L	Hozo	
hpo				I	E	Hpon	
hra				I	L	Hrangkhol	
hre				I	L	Hre	
hru				I	L	Hruso	
huo				I	L	Hu	
hug				I	L	Huachipaeri	
qub				I	L	Huallaga Huánuco Quechua	
qvh				I	L	Huamalíes-Dos de Mayo Huánuco Quechua	
hub				I	L	Huambisa	
var				I	L	Huarijio	
hus				I	L	Huastec	
hud				I	L	Huaulu	
mau				I	L	Huautla Mazatec	
nhq				I	L	Huaxcaleca Nahuatl	
qwh				I	L	Huaylas Ancash Quechua	
qvw				I	L	Huaylla Wanca Quechua	
hbb				I	L	Huba	
tee				I	L	Huehuetla Tepehua	
hch				I	L	Huichol	
huh				I	L	Huilliche	
mxs				I	L	Huitepec Mixtec	
czh				I	L	Huizhou Chinese	
